name,rating,reviews,category,address,lat,lon,station_id
Ohana,5.0,22,Sushi Bars,"330 Ave Mont-Royal E, Montreal, QC H2T 1P8, Canada",45.52319,-73.58333,1013ec013026d8e51b4e126c5c72c5c8
Caifan,5.0,9,Mexican,"4542 Rue Saint-Denis, Montreal, QC H2J 2L3, Canada",45.524179,-73.583853,052eb3e7422cdd1cdc5d555cf8d05c98
Nama Omakase,5.0,8,Japanese,"425 Viger Ouest, Montreal, QC H2Z 1W5, Canada",45.50301814023146,-73.56252930000001,0040082e616edec293c0c74fcbf825c4
Rendez-vous Bistro Indian Cuisine Redefined,5.0,8,Indian,"3443 Saint Denis Street, Montreal, QC H2X 3L1, Canada",45.51753418717347,-73.568246,0a7c87358ddb6f559572c8f955f78b6b
Cabane St-Louis,5.0,8,Pizza,"85 Rue Saint-Louis, Saint-Eustache, QC J7R 1X8, Canada",45.5556439666438,-73.8909222185612,11d363d4c7897a1b189b265e387fb871
NDG Luncheonette,5.0,6,Breakfast & Brunch,"6800 Fielding Avenue, Montreal, QC H4V 1N9, Canada",45.46577,-73.64438,0b43d5b25082fcf948a599c9c2f004ad
Le Chou de Bruxelles,5.0,6,Belgian,"1461 Rue Galt O, Sherbrooke, QC J1H 2A9, Canada",45.3868949,-71.911646,0c4d11a853835ae0b81cedba3bbb0d4b
Seoul Dosirak,5.0,4,Korean,"3281 Boulevard Cavendish, Montreal, QC H4B 2M5, Canada",45.46321,-73.62726,0b43d5b25082fcf948a599c9c2f004ad
30 Juin,5.0,4,African,"1694 Rue Sainte-Catherine E, Montreal, QC H2L 2J4, Canada",45.52219,-73.55236,0d4eff17975078517d6779b678d99fa3
Rotisserie La Lune,5.0,3,French,"391 Rue Saint-Zotique E, Montreal, QC H2S 1L8, Canada",45.53553199033776,-73.60876879999999,02044f52405851c50980c20964349a5d
